country,region,emajrel,commun,bulgex,elecsd,gdp,gee,injud,MXX,reldiv,WSOCDISX,funding
Estonia,1,14,1,0.15797573328018188,1,14638.6048173457,1.0857006311416626,1,1,0.9156962633132935,0,4
Ethiopia,4,13,1,0.36294758319854736,0,341.309909200504,-0.4322300851345062,0,13,0.48502299189567566,7,1
Fiji,2,14,0,0.2590828537940979,0,3651.96678405546,-0.7242387533187866,0,2,0.4922337830066681,4,1
Finland,0,2,0,0.14742086827754974,1,46202.4151628454,2.229339599609375,1,4,0.3641212284564972,7,5
France,0,0,0,0.1512688398361206,1,40703.3427911985,1.4303009510040283,1,16,0.5609437823295593,29,3
Gabon,4,14,0,0.3236600160598755,1,8754.11337590957,-0.7721486687660217,0,2,0.36993202567100525,0,1
Gambia,4,12,0,0.36332744359970093,1,562.851752662169,-0.6788138747215271,0,1,0.2119048535823822,1,1
Gaza,3,4,0,NA,NA,2338.71987682303,NA,NA,19,NA,16,7
Georgia,1,1,1,0.19367682933807373,1,2964.47703373088,0.30925971269607544,0,28,0.27452313899993896,27,7
Germany,0,14,1,0.13080790638923645,1,41785.556912554,1.571171760559082,1,28,0.5564616918563843,32,8
Ghana,4,14,0,0.33190637826919556,1,1312.60755731025,-0.03788567706942558,1,2,0.5797034502029419,1,4
Greece,0,1,0,0.1293296366930008,1,26917.7589787254,0.5560393333435059,1,21,0.21187208592891693,22,4
Guatemala,5,0,0,0.33646413683891296,1,2825.52406953376,-0.6979950070381165,1,5,0.2440258264541626,2,3
Guinea,4,4,0,0.34750720858573914,1,438.751334569012,-1.1089810132980347,0,0,0.32330164313316345,1,4
Guinea Bissau,4,13,0,0.34647446870803833,1,543.957410843377,-1.0295060873031616,0,0,0.6108920574188232,0,2
Guyana,5,14,0,0.25333431363105774,1,3026.28121165012,-0.10622711479663849,1,3,0.5493692755699158,0,1
Haiti,5,0,0,0.32702407240867615,0,662.279518162433,-1.62920343875885,0,3,0.6265577673912048,7,4
Honduras,5,0,0,0.3361932635307312,1,1932.85828999689,-0.6416873335838318,0,10,0.2287285178899765,1,0
Hungary,1,0,1,0.14616891741752625,1,13025.533794363,0.6666696071624756,1,2,0.6621043682098389,13,8
Iceland,0,2,0,0.18628700077533722,1,41676.4452733744,1.5857315063476563,1,5,0.2162531167268753,1,6
India,2,8,0,0.2747623920440674,1,1345.77015320926,0.025990726426243782,0,28,0.36380377411842346,25,5
Indonesia,2,4,0,0.2418840378522873,1,3113.48063451433,-0.21430516242980957,0,40,0.3628917932510376,21,8
Iran,3,5,0,0.2865690588951111,0,6273.37844112131,-0.47880202531814575,0,71,0.024018611758947372,25,7
Iraq,3,5,0,0.3399527668952942,1,4502.74904825726,-1.1970903873443604,0,16,0.04877084866166115,41,7
